,user_id,item_id,behavior_type
0,157550506,265647,1
1,157550506,1728043,8
2,157550506,123246392,2
3,157550506,135778696,5
4,157550506,145311075,1
5,157550506,216082738,1
6,157550506,221476192,1
7,157550506,223764866,1
8,157550506,226215924,1
9,157550506,228547364,5
10,157550506,229153820,1
11,157550506,242807990,1
12,157550506,249023380,18
13,157550506,249388422,1
14,157550506,249827076,1
15,157550506,250854135,6
16,157550506,268137539,1
17,157550506,268308937,1
18,157550506,268344915,1
19,157550506,268698498,1
20,157550506,271159328,1
21,157550506,274072026,1
22,157550506,274368555,1
23,157550506,274700180,1
24,157550506,283191147,4
25,157550506,287167288,12
26,157550506,289280349,1
27,157550506,290334002,1
28,157550506,293603713,1
29,157550506,293619565,4
30,157550506,293631756,1
31,157550506,294171224,1
32,157550506,294180743,4
33,157550506,294190550,1
34,157550506,306011060,1
35,157550506,313473088,1
36,157550506,313748538,1
37,157550506,316781010,4
38,157550506,319132136,1
39,157550506,319528231,8
40,157550506,323233037,1
41,157550506,324240004,4
42,157550506,324739791,1
43,157550506,326341668,2
44,157550506,333876980,1
45,157550506,334806040,1
46,157550506,336618114,1
47,157550506,337767734,4
48,157550506,338973155,4
49,157550506,339761414,3
50,157550506,342808235,1
51,157550506,345450343,9
52,157550506,345774194,4
53,157550506,348000928,1
54,157550506,416861867,1
55,157550506,418349258,1
56,157550506,421445389,2
57,157550506,421455364,1
58,157550506,422955699,1
59,157550506,461549332,8
60,157550506,461861027,1
61,157550506,462644035,1
62,157550506,464221764,1
63,157550506,464426753,1
64,157550506,472199122,1
65,157550506,514343156,1
66,157550506,521426378,1
67,157550506,529265642,3
68,157550506,565863753,4
69,157550506,567720273,2
70,157550506,645055879,1
71,157550506,687328143,5
72,157550506,692025264,2
73,157550506,696105049,2
74,157550506,696914037,1
75,157550506,699542939,1
76,157550506,703017633,4
77,157550506,711522141,2
78,157550506,711821069,1
79,157550506,713121008,4
80,157550506,713876877,1
81,157550506,715136173,1
82,157550506,715473062,2
83,157550506,718035881,1
84,157550506,719859905,1
85,157550506,720064010,1
86,157550506,720120028,1
87,157550506,720318383,1
88,157550506,723167528,1
89,157550506,724253032,1
90,157550506,724653288,1
91,157550506,725500869,1
92,157550506,807137043,1
93,157550506,810919301,12
94,157550506,843231566,29
95,157550506,843668443,2
96,157550506,845595259,2
97,157550506,845633306,1
98,157550506,846409312,2
99,157550506,846528446,1
100,157550506,847355077,1
101,157550506,847504306,1
102,157550506,847830151,1
103,157550506,850730014,1
104,157550506,851999024,1
105,157550506,853596150,1
106,157550506,855034309,1
107,157550506,855380440,1
108,157550506,857391377,1
109,157550506,857467869,2
110,157550506,857519503,1
111,157550506,858417142,1
112,157550506,859977897,1
113,157550506,861492483,1
114,157550506,862229031,4
115,157550506,862565390,1
116,157550506,862899659,3
117,157550506,864156669,1
118,157550506,866604361,1
119,157550506,867532003,1
120,157550506,868207881,1
121,157550506,868751377,1
122,157550506,871381429,1
123,157550506,873184423,1
124,157550506,874346289,1
125,157550506,877501782,1
126,157550506,878254511,1
127,157550506,879353460,2
128,157550506,879533323,6
129,157550506,879973236,3
130,157550506,883840905,5
131,157550506,892596076,2
132,157550506,895876193,1
133,157550506,895943813,4
134,157550506,906822616,1
135,157550506,908458457,1
136,157550506,911894481,1
137,157550506,914726094,1
138,157550506,917357831,1
139,157550506,919192905,1
140,157550506,923240147,4
141,157550506,923942899,1
142,157550506,924144068,1
143,157550506,924815775,1
144,157550506,926889112,1
145,157550506,927449605,1
146,157550506,928758125,1
147,157550506,929556719,4
148,157550506,929600676,1
149,157550506,932037362,1
150,157550506,932154123,1
151,157550506,933886063,2
152,157550506,936418115,5
153,157550506,936654472,4
154,157550506,940939525,1
155,157550506,942140057,1
156,157550506,942661704,1
157,157550506,946709109,1
158,157550506,947739661,1
159,157550506,948642055,4
160,157550506,949199057,2
161,157550506,950162988,3
162,157550506,950300990,9
163,157550506,951030208,1
164,157550506,951339624,4
165,157550506,953451851,1
166,157550506,953671334,1
167,157550506,956771052,1
168,157550506,958391764,14
169,157550506,959896434,4
170,157550506,960546002,1
171,157550506,962368953,1
172,157550506,962805061,2
173,157550506,962878559,7
174,157550506,962894736,7
175,157550506,966067245,9
176,157550506,966198898,1
177,157550506,969070540,1
178,157550506,969992039,1
179,157550506,970249104,1
180,157550506,973129675,1
181,157550506,977252966,1
182,157550506,982007016,5
183,157550506,982210273,1
184,157550506,983200741,9
185,157550506,983593800,2
186,157550506,983877439,9
