48100333	M	[35,39]	2	9	8229.2	1,6,4,2
86214708	M	[40,44]		2	9837.1	1,4,5,2
111725039	F	[25,29]	2	9	6871.9	1,6,4
124649973	M	[30,34]	2	9	7025.7	1,4,8,5,2
127725416	F	[30,34]	4	8	10446	1,4,5,2
279327878	F	[30,34]		10	7477.4	1,6,4,8,5,2
290227760	F	[45,49]		8	9131.2	1,2
315213555	F	[25,29]	3	10	7187.5	1,6,8,5,2
447893246	F	[25,29]	3	10	5330.6	1,4,2
577866813	F	[45,49]		2	7865.9	1,2
682989961	F	[45,49]		2	8936.4	1,6,5,2
735014656	M	[45,49]		9	8161.1	1,2
740749868	M	[30,34]			6729.3	1,4,10
786102653	M	[40,44]		9	6963.3	7,8,2
1023646075	F	[25,29]		7	6897	7,8,2
1952736777	F	[25,29]		10	4550.5	1,6,4
2204008485	M	[35,39]			7035.8	7
2266343041	F	[35,39]		9	7423.6	1,4,5,2
2274401684	F	[25,29]			4595.4	7,6
2274697074	F	[18,24]	2	9	3640.7	1,6,4,8,2
2295749763	F	[18,24]	3		6998.9	7,2
2325338276	F	[25,29]		10	5806.4	9
2453089657	F	[18,24]	2		3993.5	7,4
2462590486	F	[25,29]		10	6040.1	3,5
2469275427	M	[18,24]	2	1	2995.2	9,2
2485601388	F	[50,54]			7135.8	1,8,5,2
1947398895	F	[40,44]		9	8696.2	1,6,4
1982080210	F	[25,29]		9	4670.9	1,6,4
2228034300	F	[30,34]		7	6645.3	1,6,4
2387777995	F	[18,24]	3	2	5163.6	3,6
2439190825	F	[30,34]		2	7162.3	1,6,4,5,2
2455562329	F	[18,24]		7	4674.5	7
10541465	F	[40,44]		9	10427.6	1,6,4,8,5,2
25029436	M	[35,39]		9	9131.1	1,8,5,2
80670051	F	[30,34]		3	14219.4	1,6,4,8,5,2
85566234	F	[30,34]	3	7	8917.3	1,4,5,2
116059509	F	[30,34]		9	7906.3	1,6,4,8,5,2
140206270	M	[45,49]		9	11727.4	1,5,2
290404468	F	[25,29]		10	4824.8	1,4,5,2
409396403	F	[25,29]		7	7090.5	1,6,4,5,2
409594328	F	[35,39]		3	12153.6	1,4,5,2
446498546	F	[25,29]	3	8	9283.7	7,6,4,8,5,2
645711605	F	[30,34]		3	9209.2	1,6,4,2
652311913	F	[45,49]			10239.1	1,8,5,2
704571961	F	[30,34]		9	8586.1	1,8,5,2
742293274	F	[25,29]	3		5920.5	1,6,4,5,2
744072703	F	[35,39]		10	8310.5	1,4,5,2
746724049	F	[30,34]		8	7742	1,6,4,5,2
772733851	M	[30,34]	3	10	8224.5	1,4,8,2
790630654	M	[45,49]		9	8361.6	1,2
803354298	F	[30,34]		9	7176.9	1,4,5
835338231	M	[30,34]		9	5642.7	3,5,2
879646268	F	[35,39]		9	5871.6	1,4,2,10
907252425	F	[30,34]		9	5927.1	1,6,4,5,2
926287613	F	[25,29]		2	4727.2	
1026386325	M	[25,29]	3	9	7655.2	1,5
1045933633	F	[30,34]	3	8	10212.6	1,4
1083968687	F	[30,34]		2	4891.5	1,6,4
1578611950	F	[30,34]		10	6357.6	1,6,4,8,5
1619356740	F	[30,34]		9	7437.2	1,4,5,2
1659610029	F	[25,29]		9	5635	1,6,4
1736682853	F	[40,44]		9	9603.5	1,6,4,5,2
1745050108	M	[18,24]	2	1	3950	1,6,4,2
1761531384	M	[35,39]		10	8316.2	1,4
1792096487	F	[18,24]		1	5927.4	9,4,2
1876803606	F	[25,29]		8	8570.7	7,6,2
1897604860	F	[18,24]	3	1	5256.9	1,4,2
1956120705	F	[35,39]			6762.1	1,6,4,8,5
1965413318	F	[18,24]	3		5320	3
1995993460	F	[18,24]	2	1	4387.1	7,4,2
2029002050	F	[25,29]	3	9	5440.2	1
2029391290	M	[55,59]			9135.1	1,4,8,5,2
2034489016	F	[30,34]		9	11374.2	1,6,4,5,2
2529179162	F	[18,24]			3602.6	3
2572970733	F	[18,24]	3	1	4975.9	1,6,8,2
2609713171	M	[45,49]			6348.4	1,2
2614761965	F	[45,49]		2	5967.1	9,5
2645110009	F	[18,24]		9	5493.8	1,4
2654001002	F	[45,49]			8335.6	1,8
2655388582	F	[30,34]		2	7018	
2699684724	F	[40,44]			6833.4	
2728033449	M	[18,24]		10	4394.6	9
2779964887	F	[18,24]	3	1	4570.6	1,2
2781892688	F	[25,29]			5255.3	1,6,4,2
2857600981	F	[40,44]		9	7105.6	1,4,2
2239526634	F	[25,29]	3		5264.7	1,4,8,5,2,10
2263232534	F	[25,29]		10	5043.9	1,4,2
2265479558	F	[25,29]		8	6728.3	1,8,2
2283409506	F	[25,29]		9	5771.6	1,4,5,2,10
2296474648	F	[30,34]		2	5593	1,6,2
2439403541	F	[30,34]		7	5634.5	1,6,4,5,2
2440819917	F	[18,24]			5195.2	1,4
2507451284	F	[30,34]		9	6439.5	1,4,2
2695528181	F	[18,24]		10	4910.1	1
1940987972	F	[18,24]		7	5215.4	9,2
2107417336	F	[18,24]	3	1	4931.5	1,6,4
2175000749	M	[30,34]		9	6408.3	1,6,4,8,5,2
2190158051	F	[35,39]		8	7346.8	1,2
2230760771	M	[18,24]		9	4404.3	1,2
2246065104	F	[30,34]			6150.4	1,2
2250708340	F	[18,24]		10	4614.5	7,6,2
2257205237	F	[25,29]			3695.2	
2334159728	F	[40,44]		10	6122.1	1,6,4
2435661893	M	[25,29]		10	5258	1,4,2
1075896374	F	[25,29]	3	7	8982.9	1,4,8
1079581608	F	[30,34]		9	7418.4	3
1103680597	F	[25,29]		3	5001.2	1,6,4,2
1131279109	F	[30,34]		9	7136.7	3
1595444007	F	[30,34]		7	7504.2	1,6,4,2
